Wallet address:	Manager(s):
5CmDsWqsjQVjeHPZZsiwESo5WvRgYJJ6Mw8uxf1kooK46Wv2	🦜 phoenix
5Dck4enVLXpUrw3SgF4ZEBiZfgTga3aZB2T2VjheNEUaH4uD	🐉 top
5DvwAQjn4i2nRTnZp78gBYRFjyfiriWxAyqo1Yzd2artLLUv	🎯 sniper
5EFAVHymNSUUHi22j5EppMhVYMxrjVMfxpMUmM2WrA5iotaX	🐉 top
5DPmaAMgmrQQPJKrgQ8Q5m2cvhMXgBtfrNGRvxKPXoVVE72j	🐉 top
5CUPdhgzDHeDL78srt8DL2Tpp2cejrMpnkeDQ6QNaFeqRxkt	🐝 Kstar
5GseGw3EL5BXxFQDA6mSKz8K8RTEUbDx2LXwwQ4CzEuTDZPx	🐤 bird
5EEfoWpAwMw7yB6hCsUQXzNDCgLToRDPxkfz4ddZSfw338jw	🅰️
5EeLMuWpNCWrhBbfXsCC7iTA4qWoMzjKSmLSvbWXA3k2Nrfp	🎯 sniper
5CMEghTqQoP3Nxc3RafGyM1D8XMEVdnCWjnQzagXF8oCYLtK	🦜 phoenix
5CVBMuoCq3ytZxWS48rc7WjLyLMshwxXo7bBwHx1DycjHw7Q	🐤 bird
5CtBF3f24ShoCqcR1UAubRQZZm9K7JSzmskrHgc5UwEWEC3E	🐉 top
5DhXdtfRFRodZFHU7KDnV8Huj2ygkMTQErjKtfsBUmuojUz1	🗡 ares
5Dnwn2wRkBwoEwMwygzrfuY9wB83rjTGNWdMU3TFSujQsDBN	🎯 sniper
5Da5vdgBvg4nZmBysGH4pRDqjCjMN9T4pRqnmLZXfNWp3QiW	🐝 Kstar
5EHyFjXygjFGaTYWWLin1pwv8ghMtAHqdTnhpXTagDy5ChrG	🐝 Kstar
5CAJSYJ1KYNH4H7cwc4biiHRTMeL7aaz8vzfNNTmASzsjaqH	🐝 Kstar
5GNRgrv2BnMrma8H1Tz85FUMZ33zy8Xh56bRrFhdDkF3KX4T	🐝 Kstar
5EHdVixz7KVNfN5aMYS54HgCysN5D3Fh4H4trhUDVJZNzxD7	🎰 lucky
5Chg6ftNzxR8DcQr1QjbuVtJGFcJZT1cmZFvEJCs7imR2F8A	🎰 lucky
5CdHuSbprvyV3yhXQymqqpBHiPQBN4iHiGmcnRvtbpmgcYEk	🏇 astro
5ELQKoVzcbxjJrNDiwmz5D9NkKWEZvEMP9ZGpBAM3MwG4gwS	🏇 astro
5Ggn8bTfFgCAoCzxnyRSgtCzw7NrHuXQ7KVuz6niUjwS9CEE	🏇 astro
5Fuok5m94WTuCfCw4FPdAYVEMJjd6YChn9Qqy3rgSsUBYmfC	🏇 astro
5FcXMFqTtPdcnz39tJNMuXKQb1BHCs23LQnppMKNkqHdgA8K	🏇 astro
5HYd2szdEEqxp4DEaAhEcZrg8UiqfVQsAwR9DhmiKE7XCdf7	🏇 astro
5GBiJpb9SVhS4f73a7pFjXLfTG5BqpQMtHF8BukCxG1QXq4g	🏇 astro
5G4LT67FEu5C8QZVBuDpZyneAo8NuuA9by7MPCZ8cqBre3n4	🏇 astro
5E4SVaeSNEa7gdb1oErpRdT34hFkeRW5EfZVKJU7VFmRpteT	🏇 astro
5GGzj9gdKxaujokDJjUyTdxgasaBoTmbFdYiUnZmzTGsJdwm	🏇 astro
5GL8uqeMijqNjhRY7b4TGmJ4HobgbJd41cPX8zbXVpeqfyrz	🐷 piglet
5E4wuufdfpnktwHBWFigiytA5nm74F5X85h4twUbfsLHNhW8	🐷 piglet
5FseFHusNna9hvNZhjBjeCJwuEEfHCQnDeHmzSVtd9a1WCAF	🐤 bird
5H3tDM29YWMmyqWZRsTwXCj5WbgebT29NeeAf5TuewjRL78v	🐤 bird
5D7PoiLKww8LrsrhRSXZ7wRbRSqoH2Be4d7DDbjUJ8ME8zYv	🐤 bird
5Ef3AzCGpdndwr11aijYY3FujofLDCYWV8GmDuW6nmoycnj2	🐤 bird
5HKCtRC7Y8ftxKbJPKaMjyjMVER7sH3LgRFx2jWMvaeyYn5i	🐤 bird
5ECGJMncQJEkBsGhtZFTpt5NhtaXJQ4LkcQ9uoYtu9Bwm96F	🐤 bird
5EnNib2xA6Mum1MRSqP11aVFvJfRA93P7oyGXTySCrLgdgKH	🐤 bird
5HVvCcFBFQM4QCaTiN26wf5GofmGmNHioin8zbJ5SpeAW1wL	🐤 bird
5EPJPjUoJkMtgWy3V7iW95Tr4tMS3BFnvsMujmXVS2kbkGNc	🐤 bird
5DtrvKRUTCyAfnM2NtmVtMFYbKZmWVZE384HoDLVJ1ijZH1F	🐤 bird
5CJivks3hxjkMc9AdJtm5Xgki7q3KXHjpsyVawoguCbkouMe	🐤 bird
5C7t1rWbhELqWNJNrPvvxoZntd3J3WLjQZWtLP6aPaAMTMfJ	🎰 lucky
5HakZhGwZcDM4n6YrDsZ7CvdyiCeXXe7yLjX3R4bCypo7MGn	🎰 lucky
5HakZhGwZcDM4n6YrDsZ7CvdyiCeXXe7yLjX3R4bCypo7MGn	🎰 lucky
5GBUMvSv4c8W8Z3xr3fuNjRaLoGQkExCf99dULDXw7QzvcwA	🎰 lucky
5GQmBnUkUSFvjoxAbXxngWWFjDyRjoX8iPNFhcz7PtfvFzxC	🎰 lucky
5G1BGqXKir1SHQYLnuWidGjj5JxDse48VKsLtAj2tmLvLmRz	🎰 lucky
5ERU2U8FFUiRppqA9FaUtsGpsqp6ncjZVbEdwjyQviTfLJtT	🎰 lucky
5FU8d7yqbD3B6bQ7vjxtfgvmTC5Lb6TEpMMxfkdTCYE5osxV	🐉 top
5FU8d7yqbD3B6bQ7vjxtfgvmTC5Lb6TEpMMxfkdTCYE5osxV	🐉 top
5DfDndefXLJr71jnNA4EQyaTYkvhuGwMF1WWAfonutmQmZ6H	🅰️
5DhsJPXEcpBZjfyBGNCjW7P5t2B1GwR2vACbuKzm2eFdvHcM	🐉 top
5G6RW3SH2GfxpHryzJxSrS2n9jW7L5DFhi2RihhNLiw1ZZ8n	🗡 ares
5Ccrr25MnQGhhFpgBirbDXtufzJE3y3Gnyh4xBAZhtsB7czT	🦜 phoenix
5Esds79Dhax9dKQSrpvRGngN4k3tyi735SgFf8w8soUKbV9D	🦜 phoenix
5Cm4DmSMUS2jfXDXqgZWpEfz1E1eezBVGYZ1cqYtHUCRRufo	🐉 top
5EZFbAWdekkYcbX3ZXLRJ87x4fgk9Vk6FEBH9FAwQJRgRKoS	🐉 top
5ELbg98euTEZudWwTMV2AHWxh3SCUVhH293bN9YWABKzCR4Z	🐉 top
5CcEH4oMc8JLBEntA3v8MbA2ykfYAPzphKq7Wc9DDtmCo7E7	🐉 top
5GebG3w2Y7WCuUX7KhDSRZWUFQdHBAPoJBLT3tKvJ8B5Txu9	🐉 top
5Et64Sqn8jBeN1U4czxi7rWCttuCGkaqPLN1jZstSEj1BxUs	🐉 top
5Fpgzt8fhQZj1wJewkfZvbKgQAHiT6WrL9H43wbDhqQG32nT	🎯 sniper
5HED7VjEZ72NWseV6xeKTByiasNkaXmZcVSK6g7AdLrPZcZW	🎯 sniper
5HK9nF5CZsdPCoye7LegPrGfqaYjyPEuNRJMxPbRkbi35tLU	🅰️
5GsWAxSJJfyaASJx6ah7xY8uesgRbn9aUiVTBnBmfwWvBuT9	🅰️
5Hpv64UwjZMqsow8iH86C2uPtnxaVTtcVt7zXN38gcyBboEQ	🐷 piglet
5Ew2FcVNqMKoL3Pg3UFfymdf5JLHo4ekJZLA4SgCRvG782Vt	🐷 piglet
5CoSQP161WTC6iBnDVerV4HKBc22PETpNS3uhYQS3FkpZsfi	🅰️
5FWBv8e3Nyq4qNEaBCFsdkeePVHVFBarqj7CEdJVq1uMATnZ	🐉 top
5H1NxSn667DNMkYZKEYWYs1QkXjy8wgTb2vBCeEPDfeczn93	🐉 top
5HHUZsTAeCXCKMwWeVAA1F5jJzWbZJ6JAgmDpQoPo5QiGmi7	🐉 top
5CCf31dRJzeqqkpiRpuEtBLJAFkkGbkrSbJn9MVjr4d1E8gf	🐉 top
5GMz5U8EEedLCsiLXua4WDdWhs2YquiwyoUBxEM2nHVve4qv	🐉 top
5FNtRcqjmJNdsP5gTvszWkUgiowVFuHofiS8t3GhMJ7P8vYz	🐤 bird
5Cnt36oUjx9Vk7NtvqcQVfvq4g1ex2axKZfB5yi7yvuPFtA3	🐤 bird
5E57nbFr5gTJq8MuchTZ2KfEbfmvyTEbf4Rtk7xuBZF5QmoC	🐤 bird
5FUWantiyD5Ltf43iE9GqgQKRcNN3WiwT4Dq1eGK4RWhEcsg	🐤 bird
5CAGPfcjCvvdNJyqoPotRqr2WFJtX67AkrEUmTz6dNXJhveH	🐤 bird
5EPZkdH4Ha6rip4YYQyd66MKdRAx1Vdzq3nGk6mUq1CXUHiR	🐤 bird
5Ct6Fj8MnjQnerb25fzCN316xLoTeHtjFTaqvHgPGH3uDVcm	🐤 bird
5FRkXU2BzFsHVEAkurgj2GdPp3mdgssNtgKNvKQNc523vW3o	🐤 bird
5HYJDdVoNKqu5h1a1sWcXT5j8TycRTfSTrbK94aHwCAzbHYU	🐝 Kstar
5FCHaLiJF42SkcH9wwKPJpnXgz45xn8x1bK2Bs2qpcXDAWK4	🐝 Kstar
5Cu58Te1EukFMRf2GCi1yTFHhaHYc6Y7v8xDt1dWcnnntvZk	🐝 Kstar
5GbPjdjgjuWNMguxFA1aCnbjdPHntZRJMQ6mngNK4Hy2VkRQ	🐝 Kstar
5H6dR8Y3v1EyfMPNxPcgdjqt7fxmTAjYpDCLSGA8GtkFKZpJ	🐷 piglet
5E22HxHA1bx87a3SX5KU7Zs6QgXmmQjX4DCtHJfSLfAoyLVa	🐝 Kstar
5FFESmvWPnzjq5E1VUPXTpNhzQK6GRAv72AipkiVxuVo8JpD	🐝 Kstar
5FAEE6Ey6rHYaRoAxgNGrYHLpM1Yj6xcLzNEyQ784iKBc77r	🐝 Kstar
5DaAhkzKTzgsdxPAhv68PZ6YXtzmukoGHM4fXXdBwgPERWB8	🐝 Kstar
5D9eCSvvtDZMEQeKc4h13ecvfoLu6hfyj2ruyRWc7WeCmK9d	🐝 Kstar
5G4TZoCRbTqzpTkZGZ7FX1cUZA1t7tZZKzQGMq29BJNwxcGo	🎰 lucky
5CGGmszwL3QHBBFqFamJ7d4MxSkZyqxfjZK9pBSWbM7NrKuV	🎯 sniper
5Gb3kysJLgugq9SzmHYuusHrik9FG7X2nHpaPYhWb9CzFD2X	🐷 piglet
5GTG5nJ6aoP9MnqzJSZ1N1gMXng2AStxjDPAmJj9cTczzxHv	🐷 piglet
5FnRbbtfbMGowpbbMBMepJNKsGh2fNALA3QDoDBn7JrPjaDf	🗡 ares
5Hox5MdR9zaZpZ3Tmh2SNW7Jq9VEcEjo4Usm5sqRFsLbExem	🐤 bird
5FRXUqR28TquAWT9tLVTR1B6swNNNphcXtL1p8qejJJASkm2	🐤 bird
5F7UysRFVy8seTE8JxJqFGZt2VWf9fEo7c3N8cT4Y4AvTswX	🐤 bird
5FqJMtA2uR2kGwVq7MviYkbALwKAxx57X6s2HN5BpgwNNmy1	🐤 bird
5CSXts98y1hZWtyuRgUbWZowzNzXYD5GxRb2KU9dnSUZ6b6F	🐷 piglet
5EqrZWgJf2GNT3uCPYXjV2DxS83vYxyWV9AutSQGsbZmSbCg	🐷 piglet
5G6kySo471TN3iqACTnKZ9BbMGpAvvP74ku84xEP8oPixMsG	🐤 bird
5FxeyFpRXbJstSaiu4MYKDA2RdWFRTSsVNdAYCak6QZgnFLn	🐤 bird
5GnAWU9oN1vhoDdDW5u3SJk75ZCkKxM3vFBmCJa77nnfp2rh	🐤 bird
5D7SYn98NxSz5MyZBboJGrPX8TFcXuFRnpHPqfxoHWurPngH	🐤 bird
5HB9Vst4h7eURYKaRVJBtf1FcsULSThtLeAiHN77UxFVoJp9	🎰 lucky
5GbJ6Ef3wNAg88QPwy8t6qvsYJ9tnWj6oX7htE8ToyPMY2Rr	🎰 lucky
5E7wEr38F2Ei4qC261dFyPGVUNjMF4XPLWVHBEZm4NDSAZaL	🎰 lucky
5DWhp8cUEr9JWpuJYukGHH6o4vtRGTQFJtUxrjZX3nNCRbi9	🐉 top
5EpkPTpmPNBscZ9NoErRvaicrjnnTe1DBMBn4cUFA8qvjvUv	🐉 top
5E1hqcJKMVcxiPEZYRZ8mc4XkwpWWF6PLQ8zhQyMJTTSqoDx	🐉 top
5FURWThdYSQCf7pJxizWQaBqgW26QiqVKuiVoocC4QS1GqYw	🐉 top
5Dq9dEf1ZS6MeZLTkH7cBgZxB4wn6pXWmrU6wg3ikVMV3G3V	🏇 astro
5ExdLQFdWqzLuzcaLgASnWdM7jtnyskv8dVjPWi49pj3WW6Q	🏇 astro
5DF7xbKggx8nWF1VA9zVcL77pMUXKfSwWeWxMdWpneVGdcMy	🅰️
5FustLkwAZBRtYXL4GakwN5DNEMaWK5GpCHZUqDyyb1cQZ9K	1️⃣8️⃣0️⃣3️⃣
5DZn6ojgiPPqfbq85jZHCvReUL2bJm85SNiVC8Wd4vQbrXTz	1️⃣8️⃣0️⃣3️⃣
5CGBCnNP2M2NYo35WmWpxYYLeDn2jUgWPgjuFEtGASSAZwn8	1️⃣8️⃣0️⃣3️⃣
5GTKvxhKsPhpCnu9713YX9nZVjCV9NMdCBBsnePjZK9LPH18	🐤 bird
5D2fgh9yWTsjZHT5KM8paatzur1VobwnsBCdsCwTUD4Ri4ev	🐤 bird
5CSuEYryQVvsk7rAjMF12ihxwWEoHBoy45kWWbuu2QG61Nma	🐤 bird
5FsSXRDioNUw8Zo6uEZB3viCLZDPaHG4hBUBLcm1w7k4gNVK	🐤 bird
5CyZrBoPKhvBmqgJgzRLsDCoUzPX6DMQ4H7eRCfEYDfeh7r7	🐤 bird
5ECcmcJuANLTNw9HTvmWe3PWH2zRUf2DMYerECciZ8twNyu3	🐤 bird
5Ev1sGqNNtKcYTr4ymBDqAFsoi4MXqksawDWk4WjwoUgkXow	🐷 piglet
5GC8M4ohpWCqjLB1682LKHfonAW3iFZAtEEZbeNiwuRwxjEq	🐷 piglet
5FhFsxVcdm1HmpMmB3iMR7R7PqMp5cvhfa9u23ctPPxeoYcN	🐤 bird
5C5X4zSAVZdoqzymA5Pkq7XTQUBzVL7giZk8iDK5w5mTX7p8	🎯 sniper
5HMvg7eCDFyEuh2ZSwX24QvYtj42e8AbcPzZQdKoLDaPqbQW	🎯 sniper
5CUyMSrBA75XmfDPtKJw3CWfaZbu9gkDfT43Xuq7BL6y9LPk	🎯 sniper
5FEJzpvjSmtsPDQaH2FqCVMEi9LkoJrpuMNphc9axqVcD2RB	🎯 sniper
5HE1ygPoZQtQ6R5CBizNVcaszDG5sbrBBQiR3isj9x1NEku7	🎯 sniper
5HJyGs6SpFRXGV12k31hXnk7CHji3mx3E7FQFcw17ZbjBCpJ	🎯 sniper
5DExfczwfLgztiLAo22nXPssbwUDUq5pjD9jSpxG6CY1LJVF	🎯 sniper
5CcyFmoSdw4Rnx1UNEkbYwUgSndmcVMgo8uanMVEHGyX8mto	🎯 sniper
5DZhppHSJcH3UEGc2RvBHNQciWNoCxsVQTZzZKPD19aVcmpA	🎯 sniper
5F7dms4TaEhYGwqYXzNNSZkupfmVynwnAtxvkQn5vNoVyZtz	🎯 sniper
5GT7ThBh9GAvL2Gw89oMVDV7NyZevm1vm25oDTKSLE6Ns7Ec	🎯 sniper
5EsPWaMkjHkr9QcE7QYgVVWjQ3e1z2tjewzNgfLsWBaKHbUW	🎯 sniper
5EWhaFxarUJ1XfRpMJ4hzQT9aog3KRRPW1ysReocsdxsCFJb	🎯 sniper
5DMC9XoJgNc32uNVko3FymwoUZd87RyM1hd4GgVPAVbzAbqe	🎯 sniper
5EWWNSxk583SRonz2UPLZk5zWDxEg8XsaLBpZTdyCkv2zL7f	🏇 astro
5G9VzmC4wbPkpR3Mjv3khpkcW9NsJFqsS7fMTHhjaGq8RLT6	🏇 astro
5EHZZhN2gsbFBP19vwSiAYFvr1EDP7YH6zgom89QFn7wku67	🏇 astro
5FZ7w1FiiSHabbBfs7GAygziyib7FM4oVy4crfu139MjKe9C	🎰 lucky
5EP3b92XJpUQmLtMtVWpZ49U2cWDPATK6Zr5i9XdDCy5RTi4	🐤 bird
5F2MtwAWS4QPCNfvt567nVSPURms4mK4XDhemkqEsMBh6cdi	🎰 lucky
5FNaF1GQNkhhiDnhz5yq5dwUvcjs7ovt9N8mzNeQanDqaCm4	🎰 lucky
5Hmf6pT9XfmhXKG8CFbqxPcfUaE124mDGFntiZoTxPxgasFM	🎰 lucky
5Dt6wWxEfBeYFFnNV9EmFN64C4bYTkrdmHXtefHPAJ6gfHX9	🎰 lucky
5GbJVAqJ4qrGmYVSRkBfRguc4okMRe2Z3N7NLfrutycj6HuV	🅰️
5Do3QCCG9JuTaXuRBmAyg7ds1dEYJugtKo1f4WSkegGoVPn9	🐷 piglet
5FsknaxKWA6VxGpPXsLwUBvWieUufscuRQEVUpoxZcFkTcMH	🐂 ox
5Dy7Jo3BtyYo8HGkbLsLTYjrUhsz8dypEdMgrKwpu4MxprrZ	🏇 astro
5EquygRZTteAmFFLREgq762XZVh74R719sqeUdMCHLiRf6YC	🐂 ox
5ETvB5Fk45Yh2ycZHYGtZwE66yTK8e82FSYPRHEESAYt7Ytk	🐤 bird
5DAWztfEye6tSfDCHXPxyKTzkUrreegY8r7hRyfx1qr2EBLk	🐤 bird
5HWYMwgPcQdSocPNANtPX3EZQxJeGn1rsxvbLbpQQL8PJ5cY	🐤 bird
5DM53tdUJeVRMbzCkAkDTAeCrw5nMuRbY1nBqkvu26faKCLX	🐤 bird
5ED3jdmdrSSRNGY4du5H2QhEK8JrCWmCnSFH3UzuXuSZyL3k	🐂 ox
5HL6rAexuVG3hHrdF7eVDdzxQkmj5rrF2xV4AXAZod2tVicV	🐂 ox
5GED4wfnHz23w7K8u3udvNBpoDHrTaxkUVfQ3jxbY7MKusKp	🐂 ox
5HGmfigWzaAxVvtaE6weK4Q2SKnhZpTNY1N7ohjEAaUC1tHu	🐤 bird
5FvEkWbrmjNnuUnJB9ezus8AP8NBm42ZGW2VqP9WEX1S6FHz	🐤 bird
5HSxz3J4kqJaiswvYmsPNTJ3baxia2ZuHGCdPjJL6riRZcFu	🐤 bird
5CPf4dH2Lf3cDiCRGp8FMwP4pyv5iE1r4Z9kiggwppsKSWUo	🐤 bird
5GjXxiCo9RwuSk3YA9xsmUMHjocvVu7Ad3384iSP2R2djLL2	🐤 bird
5EUBisdWGFuQcf5Q4fD3w8foTmddXKsNiioovYQ5YMu8tHNB	🐤 bird
5GaxCi6Jmfc6raV8zYjgq27uQ9v851eGcZrNpVE98YaKohJB	🐤 bird
5Fs8tehk4vkNgQkg5csEA3dj6SMoz34t4YDjS5ojjrFDwxrL	🐤 bird
5G7BBS4Qo7Cu6T6tDDuDygJcvqULRkasDDeFHaryvy3ZTnQc	🐉 top
5ENTEjk6sZAUYW1CxtRS1ofY7dvtN9CZzuPQc6tsUiSq31eP	🐉 top
5FLLQaB7xMBQjxwz6CCCiuNdtc7mhLkbgqRHdhDB7CVSmDi1	🎰 lucky
5D72DU3bySKmX8cZnuA8c1HbjVhReaL4roVkP9EfBhKzqcyt	🎰 lucky
5EpiLv4U1J9DexecJsgNpehz9H8gewrRCN5jQbth3utDEmuP	🎰 lucky
5G4iSuAZTEeMBJh3MWC9fa9iZm5hcHhzDPf85KnH1vUa5bpF	🎰 lucky
5CJAW4c47xzGJpA8Ly2EJV2G4QAzLA7DnnvrneY2bE2qqgWv	🎰 lucky
5EEu6WmXECjnrs3V4QND4p6rX2S9ubkiyYXETt2GUQf2UUnH	🎰 lucky
5GTQuc2YsW4Afx1SG4VcSnsnzUdiHnrZa9HAJqnooBZYTBNS	🎰 lucky
5Ejie2JefA1fcEubS4mdVtyGW5kXDEuejA3YpNVac5dCtETQ	🎰 lucky
5Ft28gKpKq5YakLVh79RX1qD59Dv3wFmvR3zsRBUg33k1bR7	🎰 lucky
5CCjfZb69XVWEyCPMyC11LzzLmxhp2bZRBP4ugXLcK6vGAfD	🐉 top
5Do3SGfEkioWnKLLh7CLASivEArhoqJWVp2AvTckmq4mecpA	🐉 top
5HEXxoyUYeYMeQ8MJ8EeERFDffaKpdXCMAJkayXak9cRYbAz	🐉 top
5H3rSu9yYo1ffNceUwyc2SVMPk9raaUiCsagUDcRC4m5SsTn	🐉 top
5DFtaVc2PPVty6cHZ4NpMqmoXMVpLASaumVNPM2RrLnrqviq	🐉 top
5EbwSNZj9sauj8NqHuB1ZJYMH64dvuVX18kLXB9QCM2nPyPb	🐉 top
5FFBEaU9XFdEo1otVdR9ib221hS8N6vt3gEnxe7NjRAa7c3D	🐝 Kstar
5H4NGqSTkCeLktagVXRC7Tharpsirhpi4Xf6eABXRdz1aAuS	🐝 Kstar
5DaAhkzKTzgsdxPAhv68PZ6YXtzmukoGHM4fXXdBwgPERWB8	🐝 Kstar
5FAEE6Ey6rHYaRoAxgNGrYHLpM1Yj6xcLzNEyQ784iKBc77r	🐝 Kstar
5GNmpr8mEGcS2GHuLuPa1Qp6EKvrervH3RXwoVAH133uNnEi	🐤 bird
5HbAXzSyauDC3XyectQ4k832VNMQW6Mu1v6iWz3zdNpwiunT	🐤 bird
5GHGSPn2S2tu96Hxb3UC9zLapQY5o2BYLJjPDPaTxYiQHVmD	🐤 bird
5H8zoCCNGGRsdSSNXmgKyab2bnu33NRzEUppEQmUtyfXgYXV	🐤 bird
5G9ozQHMiwGGna5sfurxRxSbi5Br14UwK17j7pCi27oGeNjk	🐤 bird
5DtgvSTMQHF5en8MxgjcR3B5wsvhCtCEVgqyWTAophD6MNAY	🐤 bird
5HKKD5mz1SDy4b5XLrKjARkwTbFm3azbMBkvZrYYLrVuNGXi	🐤 bird
5DkSkzCuQApqjfx7bqVewGbrPaBirKav9iMdF6hkAHu92uUa	🐤 bird
5GTHQzqvYLm8Txc88ckcitLP2FXswdWKxDtFjzPGxCx3nhVa	🐤 bird
5HDwdQ57dKpxuL1LSiFM88adtBCp6LAgS7muBaSRa3R3m58M	🐤 bird
5D51Mx7HBJay3JbYSiEtz3XLikd9PdbMpiXnQfTdzfRa3zS8	🐤 bird
5CoLx9DwdQBAV1p9bJtMf6u61UowZVAGaCNfUBbkMwdk1YwX	🐤 bird
5GbAs1ugPJejtmsFdrtvdu45R1aZz2jHWqeoNaiMiNQ7ZDTQ	🐤 bird
5Co66EPAP8U5KXh4wA69A7oMyBFiknD6Y4a6BXrQpwYdj1Rd	🅰️
5DRZ4nxZsM7JzZR6X53WY9qjb4gAYehsLz5K3Ya8KiSdG1tp	🅰️
5E55L71XoogxYmdfnBGu33u2ybw2CZ8NuyZyjCK2pzGTU2aX	🅰️
5G7BBS4Qo7Cu6T6tDDuDygJcvqULRkasDDeFHaryvy3ZTnQc	🐉 top
5GmkHKjbfzMXPk4sbBWXefuoZvZFdwUtZheakWkd1wUvMTD2	🐉 top
5F4tZrfx2YEtTTrKZuQqjAj38oVmL24MM4X642Xo1KssDZXH	🐉 top
5DUxqtnxVZuGEaAubqrKEeUzNrLkd6vqx2VKATPsXKko8Kzr	🎰 lucky
5GEgEr3nY2j6KPmAYcjYnY15wTkEcszFcHnLaBeqQnHgNkFn	🎰 lucky
5F6aZHgSoyhSVEtxzyU1igooUXT4dkWDiceZTUB4L1VdtrER	🎰 lucky
5F9zuPVTVv2QSr5PZZXo9Xkr2auxf7MvDsVjex69iu3UWPHA	🎰 lucky
5FsxULPzec8KYzf946C246KdUpUFgUD2DjzxXg77N2LxejV4	🎰 lucky
5G1BQt2xktF3NTdh7cGbXvAYMFPtxcLibCtVwv4GmVxzh8FG	🎰 lucky
5FxpihSeCPkBY7ufv8JFBWehKdBKkb5c8oKKn7K3AWHeUyFq	🎰 lucky
5EAUSVppHyyP6U44p3rg5p7ZoqhoXtr2UzUPAY8mfj4SZB5j	🎰 lucky
5DhAyBX4WMT6152yxqdHFBb8SWAxNQkBjEmRjVZXvebYxbwh	🎰 lucky
5GejcNRjD7KNLgJeXypMxNhHPzuCtnobH3TUuJe4pivfPnBN	🎰 lucky
5ETooPZyrVjkWmQRu4NXhMnHzrqXdEfNz3sLKu1FLjkSA5w7	🎰 lucky
5HQEewEjKj9hJ8wo79NU7WmoFctfPqBCjaYQgLV3riNxYHsP	🎰 lucky
5E2fPPURtihaRRboizrQDfdnhd2Uc3HcA89N2JW1k2brRpMS	🎰 lucky
5EgrbfhZaSjGoviNV7mXSUjjfo3uTzDGqw8nrSVuSXAfHfoi	🎰 lucky
5DfTFxJqZFpJjW8JmSEdjRkqyMTF6zGKLBYXKdXLnPELM3pd	🎰 lucky
5HjRKY2WuQra15wbkqEbsD2Eh96rmpxerocfLkUWftZbynDC	🐤 bird
5GCSNXCBd598CcC1qGwU72hZZrSJPQa6iN8AHwAwTCQMuhVA	🐤 bird
5E4CQo14LKrkmffNGk3ZLPCMVXjhGGj6gF6bQ2qojSA6gKy7	🐤 bird
5DyUtRapuGLuZWrRsacfRQG86U3MHzSDmKUfVzA45hrbr6sh	🐤 bird
5GEvMkHRmJMQF5UgVyPC8L7oYunANcoSfoGQzFXpWnp3sN66	🐤 bird
5CQ7Eon6zLJWQcmqHYvcbaLvcs8JcfKYLvHbTS2rBxkHLCd8	🐤 bird
5EhDJnFKLprdwJ49ADKkUCi2FehnqZUTEGE5RuQsYy7Lragc	🐤 bird
5CkKCsu7kAVUt5t3ycoY6GjEpXAHyspgbqcFfN9W2MgRgETA	🐤 bird
5EhReme6iEUeLdF6GbrHRY2qabKWWao9BPA6piWTGLKaKKM6	🐤 bird
5CXAFzWAktuZ75ic1KDkByCRWCh8ppQ177ZBdmo5texrX8uY	🐤 bird
5GzvaUrXXKtg7cVHwMCpEpaZ5v17Bsjj9aYZF561uKEAvXF4	🐤 bird
5DyNwEbahnWQfYR9aLcbmBFD7u1BZXPzysm5R7wiPiCLgPKw	🐉 top
5EedEW5UaBEChvkc9avDsRVDNaKiqsLdD5Pw6y3FATXdJJcK	🐉 top
5FFPWbrh4g53AFASy1ex7nL9mn5AoMw6xCnG9Tpo6k3tdDML	🎰 lucky
5Esziybg9f1nGAVgZJjvHXHy341EfkF2Yfk2piShbpvRfMAX	🐷 piglet
5Djx4fvHaXqfFozaHDxHrkkVuiKAqBJQv3nZZRxy1gXVj8uf	🐷 piglet
5DksoHRTg8vdcJu5jaqbk8fbfgosmVgkySwVUYd1zMfLe9o6	🐉 top
5Hn1UjkTUCc9wiQb8qgvb232xLavAG9uKacxRCGwAHNbnmQs	🐉 top
5CFcnrbfRfhw8HRRRqhDYnLYt3kye819RWJwWSTQtPXkz25w	🐉 top
5HZ7rxiWYcAZ4dBy9jRqemEADwLn7nyryAx3FKdMyMV7ceYd	🐂 ox
5FhAQLAcMmDxPHJJZNwwsTBWhKa8yQWk4Vhjj3qxz4SZK1FH	🎯 sniper
5D7mYaTb7pGDVnjW2iSPJoQuYYbTsiFRkfMmv3RDfeU9kUWW	🗡 ares
5HNL7mV8VXggRrSrfEsHh9qHF2jEhwuEU2CdQtL8Zj6o2rbn	🐂 ox
5CwftHP8CVtXvXdTTy8JS5UXoYBfjPFMAzHBV5tCCtVQuRee	🎰 lucky
5G14r6Abz9nBnn6UpZEQpKiUasCiDNU35rC7C2gYcK9UnwuE	🎰 lucky
5GCWd8ZoSM2jNrXzZa4JxmqVcTUMSFHq23TW7BqJr3TgQ18W	🎰 lucky
5DFpCLDFzBHrnXnc6nux9N92Rf69eqDByWCgot1YSNzEeCAy	🐂 ox
5G9vCz3ZDXqNLPReYmzXuNn1CxinEeiSp5P4tv2zGzt6nXxY	🐝 Kstar
5CSNpWzGJZVJKUFyTuJPuuG4fovaNyG5KwHv5dcqFhwv7fQj	🐝 Kstar
